model,iter,tracc,trfa,trdr,teacc,tefa,tedr,tteacc,ttefa,ttedr
NbsHrf,6,1,0,1,0.740736482,0.038280139,0.315217914,0.668233967,0.043093923,0.052445492
NbsHrf,7,1,0,1,0.74759742,0.043896363,0.341865426,0.62827413,0.065868263,0.036842105
NbsHrf,8,1,0,1,0.739788669,0.038081352,0.306910667,0.649699399,0.07649599,0.14187643
NbsHrf,9,1,0,1,0.740857346,0.040503075,0.321240265,0.645119164,0.096819457,0.048648649
NbsHdnn,0,0.65282392,0,0,0.652822507,0,0,0.694200036,0,0
NbsHdnn,1,0.655615293,0.000910747,0.000868056,0.655140542,0.001509624,0.00038384,0.656836461,0.000941324,0.000601685
NbsHdnn,2,0.650907999,0.000460936,0,0.651051689,0.000356579,0,0.717790226,0,0.000683995
NbsHdnn,3,0.650198231,0,0,0.650338692,0,0,0.716377091,0,0
NbsHdnn,4,0.653974515,0,0,0.653964104,5.12E-05,0,0.678790984,0.000251509,0
NbsHdnn,5,0.65604905,0.000227946,0.000434783,0.655976339,0.000352538,0.000144161,0.65418278,0.000622084,0.000588928
NbsHdnn,6,0.654135338,0,0,0.654129843,0.000228513,0,0.678354814,0.000279408,0.000589275
NbsHdnn,7,0.656108597,0,0,0.656156256,0.000126981,4.85E-05,0.653726991,0,0
NbsHdnn,8,0.656745438,0,0,0.656656475,0.000276799,9.63E-05,0.64516129,0.000314367,0
NbsHdnn,9,0.65389276,0,0,0.654002577,0,0,0.679320506,0,0
YbsHsvm,0,0.999848988,0,0.999097473,0.837484136,0.08910038,0.447162936,0.777758164,0.121593724,0.183922046
YbsHsvm,1,0.999253062,0.000354988,0.997169811,0.840123396,0.082819588,0.429677819,0.780147499,0.10314644,0.155696203
YbsHsvm,2,0.998949264,0.000359971,0.995479204,0.834702897,0.091636647,0.446122239,0.798324129,0.118473014,0.251082251
YbsHsvm,3,0.998932601,0,0.993518519,0.835368596,0.088188475,0.442112806,0.80389981,0.114173929,0.131386861
YbsHsvm,4,0.998634709,0.000181258,0.99255814,0.83424399,0.087579493,0.412679932,0.81012234,0.090193705,0.321463897
YbsHsvm,5,0.999551368,0.000178476,0.998154982,0.837463319,0.085608228,0.423668885,0.785628262,0.098119576,0.207434053
YbsHsvm,6,0.998947368,0,0.993358634,0.83925611,0.083615621,0.424714869,0.71852123,0.179035455,0.214517876
YbsHsvm,7,0.999698341,0.000181587,0.999109528,0.835245699,0.090957083,0.442083333,0.766625067,0.124218424,0.120838471
YbsHsvm,8,0.999102602,0.000178891,0.995437956,0.836349383,0.08874005,0.439287919,0.795283393,0.107720758,0.2125
YbsHsvm,9,0.998788246,0.000181159,0.993530499,0.836959037,0.084203475,0.425944947,0.815202471,0.092527387,0.156424581
YbsHrf,0,1,0,1,0.859822885,0.007017405,0.162131284,0.852409099,0.009239815,0.049939099
YbsHrf,1,0.999850612,0,0.999052133,0.856827395,0.005961603,0.134688822,0.836028659,0.013186813,0.05443038
YbsHrf,2,1,0,1,0.860884962,0.00806388,0.176482702,0.864677575,0.00888494,0.043290043
YbsHrf,3,1,0,1,0.856352941,0.008768225,0.170230179,0.879059351,0.013833992,0.008759124
YbsHrf,4,1,0,1,0.856547848,0.005406157,0.12312566,0.826494126,0.006993007,0.025717112
YbsHrf,5,1,0,1,0.858746168,0.00591716,0.142219917,0.824497258,0.01540719,0.039568345
YbsHrf,6,1,0,1,0.856224314,0.006423392,0.129482902,0.820430514,0.009833067,0.016251354
YbsHrf,7,0.99984917,0,0.999068034,0.859342523,0.006536077,0.15761658,0.848352449,0.005553182,0.004932182
YbsHrf,8,1,0,1,0.860622753,0.006305368,0.164010283,0.849414614,0.007794048,0.009722222
YbsHrf,9,1,0,1,0.858309944,0.005069759,0.156637622,0.874956762,0.003947888,0.018156425
YbsHdnn,0,0.836577637,0.004138924,0.009345794,0.836265494,0.005656894,0.010370217,0.849811592,0.005260943,0.010962241
YbsHdnn,1,0.841610738,0.0070609,0.017307692,0.835093326,0.008588741,0.013602638,0.833024501,0.007622326,0.012658228
YbsHdnn,2,0.832309306,0.006276901,0.011850501,0.834279848,0.008074546,0.014778325,0.859432323,0.009139545,0.008658009
YbsHdnn,3,0.832318002,0.004015331,0.007359706,0.833855113,0.003685801,0.007580414,0.886261261,0.00415838,0.001459854
YbsHdnn,4,0.838685247,0.005392774,0.003849856,0.837972184,0.005053218,0.006010122,0.827192085,0.002061431,0.007912957
YbsHdnn,5,0.83908046,0.006562611,0.018850141,0.836199931,0.009078075,0.017532939,0.824725498,0.010039177,0.01558753
YbsHdnn,6,0.841844398,0.004090343,0.004830918,0.838383168,0.004419018,0.006265664,0.82569155,0.003444317,0.019501625
YbsHdnn,7,0.833784597,0.008249641,0.012126866,0.834098317,0.00978586,0.017511139,0.844880887,0.01087884,0.011097411
YbsHdnn,8,0.848901509,0.002811457,0.005,0.835440948,0.004353822,0.006826982,0.849807964,0.005677786,0.001388889
YbsHdnn,9,0.835123279,0.00397974,0.013850416,0.834693332,0.004373964,0.006985105,0.871497752,0.005724437,0.002793296
NcwtFsvm,0,1,0,1,0.97644254,0.008011226,0.947127875,0.543093654,0.252017937,0.005878895
NcwtFsvm,1,1,0,1,0.975657591,0.011166035,0.950439418,0.427889032,0.437483479,0.121084337
NcwtFsvm,2,1,0,1,0.975147968,0.008444614,0.944433863,0.605334785,0.28345679,0.29705681
NcwtFsvm,3,1,0,1,0.97806028,0.009260457,0.954416092,0.553399615,0.229324989,0.001702611
NcwtFsvm,4,1,0,1,0.97458989,0.010814542,0.946911665,0.60624895,0.265276074,0.327476038
NcwtFsvm,5,1,0,1,0.978234303,0.007972235,0.951854168,0.400651466,0.423759791,0.004127358
